Term,Type
"ST ANDREW'S COLLEGE, BRADFIELD",CharityList
ADULT TRAINING NETWORK LIMITED,CharityList
FORWARD IN FAITH MINISTRY U.K.,CharityList
ELIM FOURSQUARE GOSPEL ALLIANCE,CharityList
THE BBC CHILDREN IN NEED APPEAL,CharityList
HARPER ADAMS UNIVERSITY COLLEGE,CharityList
WIGAN LEISURE AND CULTURE TRUST,CharityList
THE BROOKE HOSPITAL FOR ANIMALS,CharityList
ENGLAND AND WALES CRICKET TRUST,CharityList
NORTHERN BALLET THEATRE LIMITED,CharityList
THE CLIMATE CHANGE ORGANISATION,CharityList
STARLIGHT CHILDREN'S FOUNDATION,CharityList
LONDON TRANSPORT MUSEUM LIMITED,CharityList
THE ROYAL HORTICULTURAL SOCIETY,CharityList
WESSEX CHILDREN'S HOSPICE TRUST,CharityList
ACORNS CHILDREN'S HOSPICE TRUST,CharityList
GILMOOR BENEVOLENT FUND LIMITED,CharityList
DEMELZA HOUSE CHILDRENS HOSPICE,CharityList
THE LONDON COMMUNITY FOUNDATION,CharityList
LEICESTER THEATRE TRUST LIMITED,CharityList
THE TONY BLAIR FAITH FOUNDATION,CharityList
YORKSHIRE AIR AMBULANCE LIMITED,CharityList
SANTANDER UK FOUNDATION LIMITED,CharityList
CHURCH OF GOD OF PROPHECY TRUST,CharityList
BRITISH EYE RESEARCH FOUNDATION,CharityList
THE SUSSEX COMMUNITY FOUNDATION,CharityList
BRANSBY HOME OF REST FOR HORSES,CharityList
KING'S COLLEGE HOSPITAL CHARITY,CharityList
HOSPICE OF OUR LADY AND ST JOHN,CharityList
SAINT CATHERINE'S HOSPICE TRUST,CharityList
THE BRITISH DIABETIC ASSOCIATION,CharityList
THE ROYAL MARSDEN CANCER CHARITY,CharityList
THE ROYAL OPERA HOUSE FOUNDATION,CharityList
UNITED TALMUDICAL ASSOCIATES LTD,CharityList
LEEDS TRINITY UNIVERSITY COLLEGE,CharityList
THE GATSBY CHARITABLE FOUNDATION,CharityList
THE NATIONAL COACHING FOUNDATION,CharityList
THE CHURCH MISSION SOCIETY TRUST,CharityList
GLYNDEBOURNE PRODUCTIONS LIMITED,CharityList
EDHI INTERNATIONAL FOUNDATION UK,CharityList
RESPONSIBILITY IN GAMBLING TRUST,CharityList
THE POLICE REHABILITATION CENTRE,CharityList
THEATRE ROYAL (PLYMOUTH) LIMITED,CharityList
THE SPORTS COUNCIL TRUST COMPANY,CharityList
NORTH HUMBERSIDE HOSPICE PROJECT,CharityList
INTERNATIONAL MEDICAL CORPS (UK),CharityList
SISTERS OF THE CROSS AND PASSION,CharityList
THE BORN FREE FOUNDATION LIMITED,CharityList
RAINBOW TRUST CHILDREN'S CHARITY,CharityList
REDEEMED CHRISTIAN CHURCH OF GOD,CharityList
COVENTRY HERITAGE AND ARTS TRUST,CharityList
EMUNO EDUCATIONAL CENTRE LIMITED,CharityList
THE BECHT FAMILY CHARITABLE TRUST,CharityList
THE COALFIELDS REGENERATION TRUST,CharityList
THE LEPROSY MISSION INTERNATIONAL,CharityList
MOTOR NEURONE DISEASE ASSOCIATION,CharityList
THE ROYAL ACADEMY OF DRAMATIC ART,CharityList
SHEFFIELD THEATRES CRUCIBLE TRUST,CharityList
NEW HORIZONS COMMUNITY ENTERPRISE,CharityList
THE ELY DIOCESAN BOARD OF FINANCE,CharityList
LAUREUS SPORT FOR GOOD FOUNDATION,CharityList
EAST ANGLIA'S CHILDREN'S HOSPICES,CharityList
GOODWIN DEVELOPMENT TRUST LIMITED,CharityList
CAMPAIGN TO PROTECT RURAL ENGLAND,CharityList
THE MERCERS CHARITABLE FOUNDATION,CharityList
THE ENGLISH STAGE COMPANY LIMITED,CharityList
ROWCROFT HOUSE FOUNDATION LIMITED,CharityList
PALMERS GREEN HIGH SCHOOL LIMITED,CharityList
CENTRAL HARDSHIP AND RELIEF TRUST,CharityList
PHILIP KING CHARITABLE SETTLEMENT,CharityList
RUACH INSPIRATIONAL CHURCH OF GOD,CharityList
ST WILFRID'S HOSPICE (EASTBOURNE),CharityList
THE COMMUNITY FOUNDATION IN WALES,CharityList
GERMAN SCHOOL ASSOCIATION LIMITED,CharityList
ESSEX & HERTS AIR AMBULANCE TRUST,CharityList
UNITED BIBLE SOCIETIES ASSOCIATION,CharityList
THE BURTON FAMILY CHARITABLE TRUST,CharityList
LLOYD'S REGISTER EDUCATIONAL TRUST,CharityList
FRIENDS OF THE EARTH TRUST LIMITED,CharityList
EX-SERVICES MENTAL WELFARE SOCIETY,CharityList
ST. BARNABAS HOSPICES (SUSSEX) LTD,CharityList
THE BAPTIST UNION OF GREAT BRITAIN,CharityList
CARLISLE DIOCESAN BOARD OF FINANCE,CharityList
MANCHESTER SPORT AND LEISURE TRUST,CharityList
THE CAMPHILL VILLAGE TRUST LIMITED,CharityList
THE UNITED KINGDOM ISLAMIC MISSION,CharityList
MONMOUTH DIOCESAN BOARD OF FINANCE,CharityList
THE ROYAL FREE HAMPSTEAD CHARITIES,CharityList
THE ADDENBROOKE'S CHARITABLE TRUST,CharityList
HABITAT FOR HUMANITY GREAT BRITAIN,CharityList
MERSEYSIDE SOCIETY FOR DEAF PEOPLE,CharityList
THE FISHER PARKINSON TRUST LIMITED,CharityList
NOTTINGHAM PLAYHOUSE TRUST LIMITED,CharityList
STEWARDSHIP SERVICES (UKET) LIMITED,CharityList
THE SAID BUSINESS SCHOOL FOUNDATION,CharityList
THE ROYAL AIR FORCE BENEVOLENT FUND,CharityList
GUILDFORD DIOCESAN BOARD OF FINANCE,CharityList
ARUNDEL AND BRIGHTON DIOCESAN TRUST,CharityList
SHEFFIELD DIOCESAN BOARD OF FINANCE,CharityList
THE VARIETY CLUB CHILDREN'S CHARITY,CharityList
ST DAVIDS DIOCESAN BOARD OF FINANCE,CharityList
THE CHATHAM HISTORIC DOCKYARD TRUST,CharityList
THE FEDERATION OF GROUNDWORK TRUSTS,CharityList
GATSBY TECHNICAL EDUCATION PROJECTS,CharityList
ZURICH COMMUNITY TRUST (UK) LIMITED,CharityList
NATIONAL BIODIVERSITY NETWORK TRUST,CharityList
SHEFFIELD GALLERIES & MUSEUMS TRUST,CharityList
AFRICA INLAND MISSION INTERNATIONAL,CharityList
RHODES TRUST - PUBLIC PURPOSES FUND,CharityList
BHP BILLITON SUSTAINABLE COMMUNITIES,CharityList
THE THAILAND BURMA BORDER CONSORTIUM,CharityList
CHURCH OF ENGLAND CHILDREN'S SOCIETY,CharityList
THE OXFORD DIOCESAN BOARD OF FINANCE,CharityList
THE NATIONAL DEAF CHILDREN'S SOCIETY,CharityList
CATHOLIC TRUST FOR ENGLAND AND WALES,CharityList
THE SALVATION ARMY SOCIAL WORK TRUST,CharityList
WINCHESTER DIOCESAN BOARD OF FINANCE,CharityList
THE EXETER DIOCESAN BOARD OF FINANCE,CharityList
THE JOHN BOOTH CHARITABLE FOUNDATION,CharityList
MANCHESTER DIOCESAN BOARD OF FINANCE,CharityList
THE CHESHIRE RESIDENTIAL HOMES TRUST,CharityList
THE DURHAM DIOCESAN BOARD OF FINANCE,CharityList
PORTSMOUTH DIOCESAN BOARD OF FINANCE,CharityList
ROYAL COLLEGE OF SURGEONS OF ENGLAND,CharityList
RONALD MCDONALD HOUSE CHARITIES (UK),CharityList
INTERNATIONAL BUSINESS LEADERS FORUM,CharityList
THE DOROTHY HOUSE FOUNDATION LIMITED,CharityList
BALTIC FLOUR MILLS VISUAL ARTS TRUST,CharityList
WELSH AIR AMBULANCE CHARITABLE TRUST,CharityList
BIRMINGHAM REPERTORY THEATRE LIMITED,CharityList
THE TONY BLAIR GOVERNANCE INITIATIVE,CharityList
THE STARLING FAMILY CHARITABLE TRUST,CharityList
THE D'OYLY CARTE OPERA TRUST LIMITED,CharityList
ACTION ON DISABILITY AND DEVELOPMENT,CharityList
BLACKBURN DIOCESAN BOARD OF EDUCATION,CharityList
THE METHODIST CHURCH IN GREAT BRITAIN,CharityList
AMNESTY INTERNATIONAL CHARITY LIMITED,CharityList
AHMADIYYA MUSLIM JAMAAT INTERNATIONAL,CharityList
INTERNATIONAL FUND FOR ANIMAL WELFARE,CharityList
UNITED WESTMINSTER SCHOOLS FOUNDATION,CharityList
CLIC SARGENT CANCER CARE FOR CHILDREN,CharityList
THE CONSTANCE TRAVIS CHARITABLE TRUST,CharityList
THE CONSERVATOIRE FOR DANCE AND DRAMA,CharityList
THE OXFORD CENTRE FOR ISLAMIC STUDIES,CharityList
THE CHESTER DIOCESAN BOARD OF FINANCE,CharityList
THE BRITISH AND FOREIGN BIBLE SOCIETY,CharityList
UNITED CHRISTIAN BROADCASTERS LIMITED,CharityList
THE LONDON SYMPHONY ORCHESTRA LIMITED,CharityList
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,CharityList
CLAVE - CARING FOR HEARING IMPAIRMENT,CharityList
CITY OF BIRMINGHAM SYMPHONY ORCHESTRA,CharityList
THE NATIONAL MUSEUM OF LABOUR HISTORY,CharityList
ROYAL HOSPITAL CHELSEA APPEAL LIMITED,CharityList
LONDON PHILHARMONIC ORCHESTRA LIMITED,CharityList
IRONBRIDGE GORGE MUSEUM TRUST LIMITED,CharityList
THE GREAT NORTH AIR AMBULANCE SERVICE,CharityList
THE NATIONAL MUSEUM OF THE ROYAL NAVY,CharityList
THE DIAMOND FAMILY FOUNDATION LIMITED,CharityList
IMPERIAL COLLEGE HEALTHCARE CHARITIES,CharityList
PHYLLIS TUCKWELL MEMORIAL HOSPICE LTD,CharityList
HEART OF ENGLAND COMMUNITY FOUNDATION,CharityList
THE SOUTH STREET GREEN ROOM FOUNDATION,CharityList
MISSION AVIATION FELLOWSHIP UK LIMITED,CharityList
SANGHA TRI-NATIONAL TRUST FUND LIMITED,CharityList
MEDICAL EMERGENCY RELIEF INTERNATIONAL,CharityList
THE PEARS FAMILY CHARITABLE FOUNDATION,CharityList
THE LLANDAFF DIOCESAN BOARD OF FINANCE,CharityList
THE BRADFORD DIOCESAN BOARD OF FINANCE,CharityList
DAWAT-E-HADIYAH TRUST (UNITED KINGDOM),CharityList
THE MAGDALEN COLLEGE DEVELOPMENT TRUST,CharityList
THE HEREFORD DIOCESAN BOARD OF FINANCE,CharityList
ROYAL EXCHANGE THEATRE COMPANY LIMITED,CharityList
THE ST ASAPH DIOCESAN BOARD OF FINANCE,CharityList
THE ST. JOHN OF JERUSALEM EYE HOSPITAL,CharityList
THE SALVATION ARMY INTERNATIONAL TRUST,CharityList
HASMONEAN HIGH SCHOOL CHARITABLE TRUST,CharityList
ROMAN CATHOLIC DIOCESE OF HALLAM TRUST,CharityList
THE CLAUDE AND SOFIA MARION FOUNDATION,CharityList
THE MAURICE WOHL CHARITABLE FOUNDATION,CharityList
THE BELRON WORLD CONFERENCE FOUNDATION,CharityList
INTERNATIONAL SERVICE FELLOWSHIP TRUST,CharityList
WHALE AND DOLPHIN CONSERVATION SOCIETY,CharityList
SOUTH DEVON HEALTHCARE CHARITABLE FUND,CharityList
LEAGUE OF FRIENDS OF UCKFIELD HOSPITAL,CharityList
RADHA SOAMI SATSANG BEAS BRITISH ISLES,CharityList
THE HERTFORDSHIRE COMMUNITY FOUNDATION,CharityList
THE BRITISH KIDNEY PATIENT ASSOCIATION,CharityList
THE NORTHAMPTON THEATRES TRUST LIMITED,CharityList
KINGSTON CENTRE FOR INDEPENDENT LIVING,CharityList
THE ROYAL NATIONAL LIFEBOAT INSTITUTION,CharityList
THE UNITED KINGDOM COMMITTEE FOR UNICEF,CharityList
ROYAL OPERA HOUSE COVENT GARDEN LIMITED,CharityList
LEARNING AND SKILLS IMPROVEMENT SERVICE,CharityList
SAMARITAN'S PURSE INTERNATIONAL LIMITED,CharityList
THE NATIONAL FOUNDATION FOR YOUTH MUSIC,CharityList
THE ST ALBANS DIOCESAN BOARD OF FINANCE,CharityList
THE SALISBURY DIOCESAN BOARD OF FINANCE,CharityList
THE LIVERPOOL DIOCESAN BOARD OF FINANCE,CharityList
BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUST,CharityList
KINGSWAY INTERNATIONAL CHRISTIAN CENTRE,CharityList
THE FOOTBALL LEAGUE (COMMUNITY) LIMITED,CharityList
THE WAKEFIELD DIOCESAN BOARD OF FINANCE,CharityList
THE LEICESTER DIOCESAN BOARD OF FINANCE,CharityList
GREATER MANCHESTER ACCESSIBLE TRANSPORT,CharityList
THE HINTZE FAMILY CHARITABLE FOUNDATION,CharityList
DIABETES RESEARCH & WELLNESS FOUNDATION,CharityList
THE NEWCASTLE DIOCESAN BOARD OF FINANCE,CharityList
LANCASTER ROMAN CATHOLIC DIOCESAN TRUST,CharityList
ROTARY FOUNDATION OF THE UNITED KINGDOM,CharityList
THE NATIONAL FILM AND TELEVISION SCHOOL,CharityList
THE NORTH OF ENGLAND ZOOLOGICAL SOCIETY,CharityList
THE FOUNDATION FOR SOCIAL ENTREPRENEURS,CharityList
ALEXIS AND ANNE- MARIE HABIB FOUNDATION,CharityList
HOSPICE OF ST FRANCIS (BERKHAMSTED) LTD,CharityList
ROYAL COMMONWEALTH SOCIETY FOR THE BLIND,CharityList
THE PEOPLE'S DISPENSARY FOR SICK ANIMALS,CharityList
THE GUIDE DOGS FOR THE BLIND ASSOCIATION,CharityList
CATHOLIC AGENCY FOR OVERSEAS DEVELOPMENT,CharityList
INTERNATIONAL BIBLE STUDENTS ASSOCIATION,CharityList
THE CHELMSFORD DIOCESAN BOARD OF FINANCE,CharityList
DULWICH COLLEGE PREPARATORY SCHOOL TRUST,CharityList
SHREWSBURY ROMAN CATHOLIC DIOCESAN TRUST,CharityList
THE BIRMINGHAM DIOCESAN BOARD OF FINANCE,CharityList
THE GLOUCESTER DIOCESAN BOARD OF FINANCE,CharityList
THE ROYAL MASONIC BENEVOLENT INSTITUTION,CharityList
THE ROYAL LIVERPOOL PHILHARMONIC SOCIETY,CharityList
OPPORTUNITY INTERNATIONAL UNITED KINGDOM,CharityList
PALESTINIANS RELIEF AND DEVELOPMENT FUND,CharityList
THE NEW BEACON EDUCATIONAL TRUST LIMITED,CharityList
SYRACUSE UNIVERSITY (USA) LONDON PROGRAM,CharityList
THE MANCHESTER GRAMMAR SCHOOL FOUNDATION,CharityList
THE GAME AND WILDLIFE CONSERVATION TRUST,CharityList
CREATIVE AND CULTURAL INDUSTRIES LIMITED,CharityList
THE DORSET TRUST FOR NATURE CONSERVATION,CharityList
NORTH BRISTOL NHS TRUST CHARITABLE FUNDS,CharityList
ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,CharityList
COMPASSION UK CHRISTIAN CHILD DEVELOPMENT,CharityList
MISSION AVIATION FELLOWSHIP INTERNATIONAL,CharityList
THE SALVATION ARMY OFFICERS' PENSION FUND,CharityList
JUBILEE SAILING TRUST (TENACIOUS) LIMITED,CharityList
NORTHAMPTON ROMAN CATHOLIC DIOCESAN TRUST,CharityList
RIPON AND LEEDS DIOCESAN BOARD OF FINANCE,CharityList
EAST ANGLIA ROMAN CATHOLIC DIOCESAN TRUST,CharityList
CARDIFF ROMAN CATHOLIC ARCHDIOCESAN TRUST,CharityList
SEEDBED CHRISTIAN COMMUNITY TRUST LIMITED,CharityList
SISTERS OF CHARITY OF ST PAUL THE APOSTLE,CharityList
NEW FRONTIERS INTERNATIONAL TRUST LIMITED,CharityList
THE METHODIST RELIEF AND DEVELOPMENT FUND,CharityList
THE JOE AND ROSA FRENKEL CHARITABLE TRUST,CharityList
ANTHROPOSOPHICAL SOCIETY IN GREAT BRITAIN,CharityList
BELGRADE THEATRE TRUST (COVENTRY) LIMITED,CharityList
THE ROYAL LONDON SOCIETY FOR BLIND PEOPLE,CharityList
THE UNIVERSAL CHURCH OF THE KINGDOM OF GOD,CharityList
THE YORK DIOCESAN BOARD OF FINANCE LIMITED,CharityList
HEXHAM AND NEWCASTLE DIOCESAN TRUST (1947),CharityList
AFRICAN AGRICULTURAL TECHNOLOGY FOUNDATION,CharityList
AID TO THE CHURCH IN NEED (UNITED KINGDOM),CharityList
THE PETERBOROUGH DIOCESAN BOARD OF FINANCE,CharityList
THE COVENTRY DIOCESAN BOARD OF FINANCE LTD,CharityList
COLLEGE OF OCCUPATIONAL THERAPISTS LIMITED,CharityList
THE ROYAL MASONIC TRUST FOR GIRLS AND BOYS,CharityList
"THE DAVID GOLDMAN FOUNDATION (""THE TRUST"")",CharityList
ST WILFRID'S HOSPICE (SOUTH COAST) LIMITED,CharityList
THE ST PETER AND ST JAMES CHARITABLE TRUST,CharityList
ST CATHERINES HOSPICE (LANCASHIRE) LIMITED,CharityList
INTERNATIONAL PLANNED PARENTHOOD FEDERATION,CharityList
"THE MUSEUMS, LIBRARIES AND ARCHIVES COUNCIL",CharityList
LLOYDS TSB FOUNDATION FOR ENGLAND AND WALES,CharityList
LIVERPOOL ROMAN CATHOLIC ARCHDIOCESAN TRUST,CharityList
AHMADIYYA MUSLIM ASSOCIATION UNITED KINGDOM,CharityList
THE PRINCE OF WALES'S CHARITABLE FOUNDATION,CharityList
THE DERBY DIOCESAN BOARD OF FINANCE LIMITED,CharityList
THE CERTIFIED ACCOUNTANTS EDUCATIONAL TRUST,CharityList
THE TRURO DIOCESAN BOARD OF FINANCE LIMITED,CharityList
THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,CharityList
THE JEWISH COMMUNITY SECONDARY SCHOOL TRUST,CharityList
THE SIR JOSEPH HOTUNG CHARITABLE SETTLEMENT,CharityList
HONOURABLE SOCIETY OF GRAY'S INN TRUST FUND,CharityList
THE GOLDMAN SACHS CHARITABLE GIFT FUND (UK),CharityList
NORTHAMPTONSHIRE ASSOCIATION OF YOUTH CLUBS,CharityList
THE DOCTOR HADWEN TRUST FOR HUMANE RESEARCH,CharityList
THE RAPHAEL FRESHWATER MEMORIAL ASSOCIATION,CharityList
THE ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,CharityList
THE TERESA ROSENBAUM GOLDEN CHARITABLE TRUST,CharityList
EMERGE POVERTY FREE (WORLD EMERGENCY RELIEF),CharityList
THE ROYAL NATIONAL INSTITUTE FOR DEAF PEOPLE,CharityList
THE BATH AND WELLS DIOCESAN BOARD OF FINANCE,CharityList
THE SEVERN TRENT WATER CHARITABLE TRUST FUND,CharityList
GWENT ASSOCIATION OF VOLUNTARY ORGANISATIONS,CharityList
THE LONDON MARATHON CHARITABLE TRUST LIMITED,CharityList
UNIVERSITIES & COLLEGES CHRISTIAN FELLOWSHIP,CharityList
SWANSEA AND BRECON DIOCESAN BOARD OF FINANCE,CharityList
ADVENTIST DEVELOPMENT AND RELIEF AGENCY - UK,CharityList
THE AMAR INTERNATIONAL CHARITABLE FOUNDATION,CharityList
CO-OPERATIVE COMMUNITY INVESTMENT FOUNDATION,CharityList
HULL AND EAST YORKSHIRE COMMUNITY FOUNDATION,CharityList
WEST MIDLANDS SPECIAL NEEDS TRANSPORT LIMITED,CharityList
THE NORWICH DIOCESAN BOARD OF FINANCE LIMITED,CharityList
THE BRISTOL DIOCESAN BOARD OF FINANCE LIMITED,CharityList
UNIVERSITY COLLEGE LONDON HOSPITALS CHARITIES,CharityList
THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,CharityList
THE UNIVERSITY OF NOTRE DAME (USA) IN ENGLAND,CharityList
BEN - MOTOR AND ALLIED TRADES BENEVOLENT FUND,CharityList
THE KING'S SCHOOL WORCESTER DEVELOPMENT TRUST,CharityList
THE ROYAL AGRICULTURAL BENEVOLENT INSTITUTION,CharityList
FUNDACAO FOCUS ASSISTENCIA HUMANITARIA EUROPA,CharityList
THE RAF BENEVOLENT FUND HOUSING TRUST LIMITED,CharityList
THE CHILDREN'S INVESTMENT FUND FOUNDATION (UK),CharityList
WATCH TOWER BIBLE AND TRACT SOCIETY OF BRITAIN,CharityList
TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE,CharityList
CHRISTIAN ALLIANCE HOUSING ASSOCIATION LIMITED,CharityList
CATHOLIC INSTITUTE FOR INTERNATIONAL RELATIONS,CharityList
LEEDS TEACHING HOSPITALS CHARITABLE FOUNDATION,CharityList
ST VINCENT DE PAUL SOCIETY (ENGLAND AND WALES),CharityList
THE SACRED HEARTS SISTERS 1983 CHARITABLE FUND,CharityList
THE GIDEONS INTERNATIONAL IN THE BRITISH ISLES,CharityList
THE ROYAL VETERINARY COLLEGE ANIMAL CARE TRUST,CharityList
THE DAUGHTERS OF CHARITY OF ST VINCENT DE PAUL,CharityList
AHAVATH CHESSED CHARITABLE ASSOCIATION LIMITED,CharityList
CARE (CHRISTIAN ACTION RESEARCH AND EDUCATION),CharityList
PAPWORTH HOSPITAL NHS FOUNDATION TRUST CHARITY,CharityList
THE WORLD SOCIETY FOR THE PROTECTION OF ANIMALS,CharityList
THE BLACKBURN DIOCESAN BOARD OF FINANCE LIMITED,CharityList
THE COMMUNITY FOUNDATION FOR GREATER MANCHESTER,CharityList
ST JOSEPH'S MISSIONARY SOCIETY (BRITISH REGION),CharityList
WARWICKSHIRE AND NORTHAMPTONSHIRE AIR AMBULANCE,CharityList
THE SOCIETY OF ST COLUMBAN FOR FOREIGN MISSIONS,CharityList
AUDREY AND STANLEY BURTON 1960 CHARITABLE TRUST,CharityList
THE ROYAL UNITED KINGDOM BENEFICENT ASSOCIATION,CharityList
BRISTOL OLD VIC AND THEATRE ROYAL TRUST LIMITED,CharityList
THE NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,CharityList
CHRISTIAN BLIND MISSION (UNITED KINGDOM) LIMITED,CharityList
THE SOCIETY FOR THE PROTECTION OF ANIMALS ABROAD,CharityList
THE HORNIMAN PUBLIC MUSEUM AND PUBLIC PARK TRUST,CharityList
THE CENTRAL BRITISH FUND FOR WORLD JEWISH RELIEF,CharityList
INTERNATIONAL FELLOWSHIP OF EVANGELICAL STUDENTS,CharityList
TRINITY HOSPICE AND PALLIATIVE CARE SERVICES LTD,CharityList
PARKINSON'S DISEASE SOCIETY OF THE UNITED KINGDOM,CharityList
AMNESTY INTERNATIONAL UK SECTION CHARITABLE TRUST,CharityList
FOOD AND AGRICULTURAL RESEARCH MANAGEMENT LIMITED,CharityList
MIND (THE NATIONAL ASSOCIATION FOR MENTAL HEALTH),CharityList
THE ALICE ELLEN COOPER-DEAN CHARITABLE FOUNDATION,CharityList
THE ROYAL AIR FORCES ASSOCIATION - CORPORATE BODY,CharityList
THE INTERNATIONAL INSTITUTE FOR STRATEGIC STUDIES,CharityList
NORTHERN POLICE CONVALESCENT AND TREATMENT CENTRE,CharityList
NATIONAL COAL MINING MUSEUM FOR ENGLAND TRUST LTD,CharityList
CENTRE FOR ALTERNATIVE TECHNOLOGY CHARITY LIMITED,CharityList
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,CharityList
"THE ROYAL SHAKESPEARE COMPANY, STRATFORD-UPON-AVON",CharityList
ROMAN CATHOLIC DIOCESE OF SOUTHWARK DIOCESAN TRUST,CharityList
SOUTH ENGLAND CONFERENCE OF SEVENTH DAY ADVENTISTS,CharityList
SOUTHWELL AND NOTTINGHAM DIOCESAN BOARD OF FINANCE,CharityList
NORTH ENGLAND CONFERENCE OF SEVENTH-DAY ADVENTISTS,CharityList
BRITISH UNION CONFERENCE OF SEVENTH-DAY ADVENTISTS,CharityList
BARTS AND THE LONDON CHARITY AND RELATED CHARITIES,CharityList
THE TELZ TALMUDICAL ACADEMY AND TALMUD TORAH TRUST,CharityList
THE GREAT ORMOND STREET HOSPITAL CHILDREN'S CHARITY,CharityList
THE ROCHESTER DIOCESAN SOCIETY AND BOARD OF FINANCE,CharityList
THE LINCOLN DIOCESAN TRUST AND BOARD OF FINANCE LTD,CharityList
THE AMERICAN SCHOOL IN LONDON EDUCATIONAL TRUST LTD,CharityList
ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE,CharityList
DAFT AS A BRUSH CANCER PATIENT CARE CHARITABLE TRUST,CharityList
HAMPSHIRE AND THE ISLE OF WIGHT COMMUNITY FOUNDATION,CharityList
PROFESSIONAL FOOTBALLERS ASSOCIATION EDUCATIONAL FUND,CharityList
"SENSE, THE NATIONAL DEAFBLIND AND RUBELLA ASSOCIATION",CharityList
MEDICAL FOUNDATION FOR THE CARE OF VICTIMS OF TORTURE,CharityList
BRITISH FRIENDS OF THE HEBREW UNIVERSITY OF JERUSALEM,CharityList
THE AMERICAN SCHOOL IN LONDON FOUNDATION (UK) LIMITED,CharityList
ROYAL BROMPTON AND HAREFIELD HOSPITAL CHARITABLE FUND,CharityList
ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,CharityList
"SHELTER, NATIONAL CAMPAIGN FOR HOMELESS PEOPLE LIMITED",CharityList
THE BLUE CROSS (INCORPORATING OUR DUMB FRIENDS LEAGUE),CharityList
THE LICHFIELD DIOCESAN BOARD OF FINANCE (INCORPORATED),CharityList
THE MAURICE AND VIVIENNE WOHL PHILANTHROPIC FOUNDATION,CharityList
BRITISH LIMBLESS EX-SERVICE MEN'S ASSOCIATION (BLESMA),CharityList
EAST AND NORTH HERTFORDSHIRE NHS TRUST CHARITABLE FUND,CharityList
"ST. GEORGE'S INTERNATIONAL SCHOOL OF MEDICINE, GRENADA",CharityList
THE DUKE OF EDINBURGH'S AWARD INTERNATIONAL FOUNDATION,CharityList
INTERNATIONAL FINANCE FACILITY FOR IMMUNISATION COMPANY,CharityList
THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE,CharityList
INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS LIMITED,CharityList
BRITISH EDUCATIONAL COMMUNICATIONS AND TECHNOLOGY AGENCY,CharityList
THE GREENWICH FOUNDATION FOR THE OLD ROYAL NAVAL COLLEGE,CharityList
PORTSMOUTH ROMAN CATHOLIC DIOCESAN TRUST (TRUST PROPERTY),CharityList
BOCHASANWASI SHRI AKSHAR PURUSHOTTAM SWAMINARAYAN SANSTHA,CharityList
"BERKSHIRE, BUCKINGHAMSHIRE AND OXFORDSHIRE WILDLIFE TRUST",CharityList
SOCIETY OF JESUS TRUST OF 1929 FOR ROMAN CATHOLIC PURPOSES,CharityList
THE GUY'S & ST THOMAS' CHARITY AND OTHER RELATED CHARITIES,CharityList
"THE FOUNDATION AND FRIENDS OF THE ROYAL BOTANIC GARDENS,KEW",CharityList
THE GREATER MANCHESTER MUSEUM OF SCIENCE AND INDUSTRY TRUST,CharityList
COMMUNITY FOUNDATION SERVING TYNE & WEAR AND NORTHUMBERLAND,CharityList
THE ANTHONY AND PATRICIA MASCOLO 2006 CHARITABLE FOUNDATION,CharityList
PALESTINE ASSOCIATION FOR CHILDRENS ENCOURAGEMENT OF SPORTS,CharityList
EGLWYS BRESBYTERAIDD CYMRU - THE PRESBYTERIAN CHURCH OF WALES,CharityList
PEOPLE FOR THE ETHICAL TREATMENT OF ANIMALS (PETA) FOUNDATION,CharityList
THE ENGLISH PROVINCE OF THE SISTERS OF SAINT JOSEPH OF ANNECY,CharityList
THE NATIONAL SOCIETY FOR THE PREVENTION OF CRUELTY TO CHILDREN,CharityList
MUSCULAR DYSTROPHY GROUP OF GREAT BRITAIN AND NORTHERN IRELAND,CharityList
THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS (GREAT BRITAIN),CharityList
THE CHICHESTER DIOCESAN FUND AND BOARD OF FINANCE (INCORPORATED),CharityList
ST MICHAEL'S HOSPICE (INCORPORATING THE FREDA PEARCE FOUNDATION),CharityList
THE KEEPERS AND GOVERNORS OF THE FREE GRAMMAR SCHOOL OF JOHN LYON,CharityList
THE WORLD FEDERATION OF KHOJA SHIA ITHNA-ASHERI MUSLIM COMMUNITIES,CharityList
SOUTH YORKSHIRE VOLUNTARY AND COMMUNITY SECTOR TRAINING CONSORTIUM,CharityList
