"allsponsors","Freq"
"estonian educational trust",1
"ethicon endosurgery",1
"ethics",1
"eu",10
"eu-fp7",2
"eu-style project",1
"eu commission",4
"eu fp7 adamantium project",1
"eu fp7 environment theme",1
"eu fp7 faster",1
"eu fp7 food",2
"eu fp7 macademia project",1
"eu fp7 program",1
"eu fp7 project paraphrase",1
"eu framework 7",1
"eu grant fp7-214499 namaste",1
"eu heart repair",1
"eu project robotdoc",1
"euan macdonald centre motor neuron disease",1
"eucard",1
"eucognition",1
"eufp7 project building just durable peace piece",1
"europeaid",1
"europeaid co-operation office",1
"european-chinese bioarchaeology collaboration",1
"european atomic energy community",1
"european bioinformatics institute",1
"european chemical industry council",1
"european commision",76
"european community",15
"european council 6fp noe lifespan",1
"european developing countries clinical trials partnership",1
"european federation neurological societies",1
"european foundation study diabetes",2
"european fp7",2
"european friction industries ltd",1
"european friedreichs ataxia consortium translational studies",1
"european international trust",1
"european molecular biology laboratory",2
"european molecular biology organization",1
"european network political ecology",1
"european nickel plc",1
"european office aerospace research development",2
"european organization nuclear research",3
"european project",1
"european research council",51
"european science foundation",1
"european social fund",33
"european society organ transplantation",1
"european society paediatric infectious diseases",1
"european society pediatric urology",1
"european society vascular surgery",1
"european southern observatory",1
"european space agency",5
"european training foundation",1
"european union",59
"european venous forum",1
"europrise consortium",1
"eurostemcell",1
"evonik industries",1
"evonik membrane extraction technology ltd",1
"ewos innovation",1
"exercise health sciences",3
"exeseso centre",1
"exeter research scholarship",1
"exeter university",5
"exmoor national park authority",3
"exova",2
"expec advanced research center",1
"experimental psychological society",1
"experimental psychology society",3
"explorers club",1
"exxon mobil corporation",1
"exxonmobil chemical",1
"face",1
"facility monitoring systems limited",1
"facultad de economia y negocios",1
"facultad de matemáticas",1
"faculty arts",2
"faculty business administration",1
"faculty economics",2
"faculty engineering",3
"faculty environmental design",1
"faculty future programme",1
"faculty humanities",2
"faculty law",1
"faculty life sciences",1
"faculty management science",1
"faculty medical human sciences",1
"faculty medical sciences",2
"faculty medicine",4
"faculty modern history",1
"faculty philosophy",2
"faculty public health",1
"faeroes university",1
"falconry heritage trust",1
"falkland islands government",1
"falmouth university",1
"fao",1
"fapemigbrazil",1
"far sight studios",1
"fara",1
"fara australia",1
"fara usa",1
"farfield group",3
"farne fund",1
"faroese research council",1
"faureci",1
"fct",3
"fct-qrenpoph",1
"federal ministry education research",2
"federal mogul friction materials ltd",1
"federal mogul gmbh",1
"federal polytechnic nasarawa",1
"federal republic nigeria",2
"federal university agriculture",1
"federation ophthalmic dispensing opticians",1
"federazione italiana sclerosi multipla",1
"federico santa maria technical university",1
"felix scholarship",2
"felix trust",1
"fera",1
"ferring pharmaceuticals",1
"fetal medicine foundation",1
"ffwg",2
"fife council",1
"fife environment trust",1
"fife nhs",1
"fight sight",6
"filene research institute",1
"film theatre",1
"filtronic plc",1
"find better way",1
"finnish concordia fund",1
"finnish cultural foundation",3
"finsbury orthopaedics ltd",1
"fire protection association",1
"fire safety engineering group",2
"fisheries aquaculture science",4
"fisheries society british isles",3
"fishmongers company",1
"fiskaaling",1
"flexsmell",1
"flood risk management research consortium",1
"florence nightingale foundation",1
"flow assurance scale team",1
"fluvial reasearch group",1
"fmc biopolymer",1
"fondation tuck",1
"fondazione cariplo",1
"fondazione irccs istituto nazionale dei tumori",2
"fondazione rodolfo debenedetti",1
"fondo colombiano de investigaciones cienti´ficas y proyectos especiales francisco jose´ de caldas",1
"fondo nacional de ciencia",1
"fondo sectorial conacyt-sener-hidrocarburos",1
"fonds der chemischen industrie",1
"fonds lelong",1
"fonds national de la recherche",5
"fonds quebecois de la recherche sur la nature et les technologies fqrnt",1
"fonds québécois de recherche sur la société et la culture",4
"fonds voor wetenschappelijk onderzoekvlaanderen",1
"fonds wetenschappelijk onderzoek",1
"fontys university applied sciences",1
"food environment research agency",4
"food rural affairs",17
"food standards agency",3
"forcrohns",1
"ford foundation",12
"ford motor company",3
"forest research",2
"forestry commission",6
"forrest recruitment",1
"fortius group limited",1
"foundation canadian studies united kingdom",1
"foundation future faculty",1
"foundation innovative new diagnostics",1
"foundation national heart lung institute",1
"foundation polish science",1
"foundation pour la memoire de la shoah",1
"foundation science technology",7
"foundation urban regional studies",2
"foundation women graduates",1
"fp6",1
"fp6 hartes",1
"fp7",2
"fp7-people 2010-itn grant agreement",1
"frame programme 7",1
"france",1
"france telecom",2
"francis haskell memorial fund",2
"frank stell scholarship",2
"fraserburgh moonlight prowl",1
"fraserburgh moonwalk prowl",1
"frazer-nash consultancy",1
"fred patricia tuckman foundation",1
"frederick craven moore award",1
"freshfields bruckhaus deringer",1
"friends anchor",1
"frmrc",1
"froebel trust",1
"fugro intersite bv",1
"fujifilm",1
"fujifilm diosynth biotechnolgies",3
"fujifilm imaging colorants",1
"fujitsu laboratories europe ltd",1
"fujitsu services",1
"fujitsu uk",1
"fulbright commission",3
"fulbright teacher exchange program",1
"fullwave research consortium",3
"fund women graduates",7
"fundac¸io credit andorra",1
"fundação bial",1
"fundação da ciência e tecnologia",1
"fundação de amparo à pesquisa estado de são paulo",1
"fundacao para ciencia e tecnologi",45
"fundação para ciência e tecnologia",22
"fundacio´n caja madrid",1
"fundacio´n mutua madrilen",1
"fundacion esru",1
"fundacion para el futuro de colombia colfuturo",1
"fundación ramón areces",1
"fundacion sofia kovalevskaia",1
"fundatia dinu patriciu",1
"funded within eus 6th framework program",1
"fundo social europeu",1
"funxtional therapeutics",3
"fuse",1
"fuse centre translational research public health",1
"fusion innovation ltd",1
"future pipe industries",1
"futures women",1
"g-research",1
"ga-201370",1
"gaia foundation",1
"galapagos conservation trust",1
"galaz yamazaki ruiz urquiza sc",1
"galton institute",1
"game wildlife conservation trust",2
"gapper foundation",1
"gapper trust",1
"garfield weston foundation",1
"gas shales europe project",1
"gash consortium",1
"gates cambridge",4
"gates corporation",1
"gates malaria partnership",1
"gates scholarship cambridge",1
"gates trust",1
"gatorade sports science institute",1
"gatsby charitable foundation",2
"gavi alliance",1
"gb rowing team",1
"gbsf",1
"gdch",1
"ge energy",2
"ge healthcare",3
"gender economic research policy analysis",1
"general charities city coventry",1
"general dental council",1
"general higher education",14
"general infirmary leeds",1
"general medical council",1
"general michael arnaoutis foundation",1
"general peoples committee higher education libya",1
"general secretariat education scientific research libya",1
"general sir john monash foundation",4
"genesis research",7
"gentoo group",1
"geography department",1
"geological society",1
"georg simon ohm university applied sciences",1
"george scott travelling scholarship",1
"george victoria karelias foundation",1
"georgetown university",1
"georgia",1
"geoscan research",1
"geoscience australia",1
"geoscience research centre",1
"gerald kerkut charitable trust",1
"gerald kerkutt trust",1
"gerda henkel",1
"geriatrics society",3
"germán",1
"german academic exchange service",5
"german academic merit foundation",1
"german academic scholarship foundation",1
"german historical institute london",1
"german history society",1
"german national academic foundation",2
"german national merit foundation",1
"german research council",2
"german research foundation",1
"germany",4
"germany bundesministerium für bildung und forschung",1
"gesellschaft fur mukopolysaccharidosen",1
"get-ahead charitable trust",1
"get head charity",1
"getfund",2
"ghana",2
"ghana government",1
"ghent university",1
"ghs research grant",1
"gibson-sykora scholarship",1
"gilchrist educational fund",1
"gilchrist educational trust",2
"girton college",1
"gl garrad hassan",1
"gladys krieble delmas foundation",5
"glasgow",1
"glasgow caledonian university",1
"glaxosmithkline",47
"glendonbrook doctoral fellowship",1
"global influenza programme",1
"global ministries united methodist church",1
"global research laboratory",2
"global wtert council",1
"gobierno de chile",1
"gobierno vasco",1
"gofar",1
"golden web foundation",1
"gombe state universitytertiary education tax fund",1
"gomisiynydd y gymraeg",1
"gonville caius college",1
"goodenough college",1
"goodrich aero engine controls",1
"goodrich aerospace",1
"google",4
"google anitaborg memorial scholarship",1
"gordon smith travelling scholarship",3
"gospel partners trust",1
"goverment indonesia",3
"government aceh province",1
"government algeria",1
"government bahrain",1
"government barbados",1
"government brazil",1
"government british columbia",1
"government brunei",10
"government chile",2
"government china",3
"government college university faisalabad",2
"government columbia",2
"government cyprus",1
"government egypt",2
"government ethiopia",4
"government ghana",2
"government grant",1
"government india",1
"government iraq",3
"government kazakhstan",1
"government kuwait",1
"government libya",2
"government maharashtra",1
"government malta",26
"government nigeria",3
"government pakistan",8
"government panama",1
"government peoples republic bangladesh",2
"government philippines",1
"government republic kazakhstan",1
"government republic trinidad tobago",1
"government sardinia",1
"government thailand",23
"government trinidad tobago",3
"government turkey",1
"government uae",1
"government united arab emirates",1
"governmnet india",1
"governors st christophers educational trust",1
"goverterment india",1
"grace",1
"graduate school",1
"graduate school research support fund",1
"graham-dixon charitable trust",2
"gran teatre del liceu",1
"grant 222889",1
"grantham institute climate change",2
"gray research scholarship",1
"great britain-china centre",1
"great britain-china educational trust",3
"great britain agriculture horticulture development board",1
"great britain dept environment",2
"great western research",20
"greece",2
"greek archaeological committee",1
"greek ministry education",1
"greek scholarship foundation",2
"green biologics ltd",1
"green templeton college",1
"greenwich maritime institute",1
"greenwich research enterprise",1
"grenoble–inp",1
"groupement de recherche européen",1
"grp0282001",1
"grundy educational trust",1
"gruppo eni",2
"gsk",7
"gsk case award",1
"gta scheme",1
"gunnar nilsson cancer treatment trust fellowship",1
"gunvor josef anér",1
"guo jia ke xue ji shu bu",1
"guys st thomas nhs foundation trust",1
"gwct",1
"gwr",3
"h rausing foundation",1
"h23 010",1
"hacettepe üniversitesi",1
"hacettepe university",2
"haciric",1
"hala sesar wp-e",1
"halcrow",1
"hall dorman phd scholarship",1
"halliburton energy services",1
"halpin phd studentship programme",1
"halpin scholarship rice blast research",2
"halton borough council",1
"hampshire county council",1
"handa centre study terrorism political violence",1
"handh bowe limited",1
"hanfling scholarship",1
"hanguk kukche kyoryu chaedan",1
"hangzhou normal university",1
"hans rausing endowment",1
"hanson building products",1
"hardy plant society",1
"harsco metals minerals ltd",1
"harvard college",1
"harvard university",1
"harvestplus",1
"hashemiet university",1
"hashemite university",1
"hastings senior scholarship",1
"hay memorial fund",1
"hca international",1
"head school philosophical",1
"headley court trust",1
"healing foundation",4
"health care infrastructure research innovation centre",1
"health economics research unit",1
"health foundation",5
"health metrics network",1
"health protection agency",5
"health safety executive",5
"health technology assessment",2
"healthcare infection society",1
"heart cells foundation",1
"heart research uk",6
"heart stroke scotland",3
"heaslip foundation",1
"heath harrison",1
"heathcoat fabrics",1
"hec pakistan",1
"hei",1
"heif 3prosper de mulder",1
"hellenic scholarship foundation",1
"hellenic society",1
"helmholtz graduate school hadron ion research",1
"help hospices",1
"helse sør øst",1
"hemp technology ltd",1
"henderson economics research fund",1
"henkel kgaa",1
"henry-lester trust",5
"henry angest foundation",1
"henry smith charity",1
"hera",3
"herbert isle frankel",1
"herbert simon institute",1
"herbert smith freehills llp",1
"herchel smith fellowship",1
"herchel smith fund",1
"heriot-watt university",1
"hertford college",1
"hess",1
"hexcel",1
"hfl sport science",1
"hgca",1
"hh lt general sheikh saif bin zayed al nahyan",1
"hhv-6 foundation",1
"higgs cooper educational charity",1
"high performance computing technologies smart distribution network operation",1
"higher committee education development",5
"higher education",2
"higher education academy uk",1
"higher education commission",39
"higher education council turkey",1
"higher education funding council england",7
"higher education libya represented cultural affairs",1
"higher education malaysia",2
"higher education ministry",4
"higher education pakistan",1
"higher institute demographic studies research",1
"highland islands enterprise",6
"highland theological college",1
"hill foundation",3
"hiltech developments",2
"hipeac",2
"hispanic research center",1
"histiocytosis association america",1
"histiocytosis research trust",1
"historic scotland",3
"history",1
"history medicine department",1
"history parliament trust",1
"hitachi cambridge laboratory",1
"hiwate",1
"hm riley bequest",1
"hmgcc",1
"holy synod church greece",1
"home grown cereals authority",1
"home improvement agency",1
"home office",1
"honda gijutsu kenkyu¯jo",1
"honda research institute",2
"honeyman foundation",1
"hong kong college community medicine",1
"hong kong institute humanities social sciences",1
"hong kong polytechnic university",1
"honjo international scholarship foundation",1
"horiba jobin yvon ltd",1
"horizon scholarship",2
"horizon studentship",1
"horniman museum gardens horniman collecting initiative",1
"horticultural development company",2
"horticultural development council",1
"hospiscare",1
"hospital homes st giles",2
"hospital st john st elizabeth",1
"hospital tropical diseases",1
"howard hughes medical institute",2
"hp",1
"hp labs",1
"hpa",1
"hpeq project",1
"hr wallingford",3
"hrh prince salman bin hamad al-khalifa international scholarship programme",1
"hsa charitable trust scholarship",1
"hsbc",2
"hse",1
"huazhong university science technology",1
"huddersfield university",1
"hughes hall college",1
"hull city council",2
"hull east riding cardiac trust fund",1
"hull east yorkshire hospitals nhs trust",1
"hull ivf charitable trust",1
"hull york medical school",2
"human genetics foundation",1
"human resource development commission",1
"human services",1
"humanities department",1
"humanities res coun ahrc",1
"humanities research centre",1
"humberside radiology trust fund",1
"humpa",1
"humpa studentship",1
"hungarian government",1
"hunter memorial fund",1
"hunting energy services",1
"huntsman polyurethanes",3
"husband",1
"hutchison whampoa",1
"hy2seps",1
"iarpa",1
"ibers",1
"ic trust",2
"icelandic salmonid research fund",1
"idaho national laboratory",1
"idea wild",1
"ideas institute",2
"ideas research institute",1
"idpm",1
"idt systems ltd",1
"iemrc",1
"ifakara health institute",1
"ifarhu-senacyt",1
"ifs",1
"ihs",1
"ijmuiden",1
"iky",2
"ile-ife",1
"ileostomy association great britain ireland",1
"imaginate",1
"imagination technologies",2
"imanova",1
"imc group ltd",1
"imcrc",1
"imerys",1
"imerys ltd",1
"immunodiagnostic systems",1
"imotech medical",1
"imperial college",206
"imperial janet watson scholarship",1
"imperial order daughters empire canada",1
"imperial war museum",1
"implantium uk ltd",1
"inc",5
"including 19 national international companies",1
"indestructible paint ltd",1
"india",2
"indian council research international economic relations",1
"indian government",1
"indonesia",8
"indonesia endowment fund education",1
"indonesian government",2
"indonesian ministry education",1
"indonesian national education scholarship",1
"industrial research centre",1
"ineos technology limited",1
"infertility research trust",1
"infineum international ltd",1
"infineum uk",2
"informa",1
"ingenico",1
"inlaks shivadasani foundation",1
"inland revenue board malaysia",1
"innospec",1
"innovateuk",2
"innovation",3
"innovation health development",1
"innovation skills",2
"innovative electronics manufacturing research centre",1
"innovative manufacturing construction research centre",1
"innovative medicines initiative",1
"inquire europe",1
"inspire leicestershire",1
"institut fu¨r weltwirtschaft",1
"institut ramon llull",2
"institute accountancy arusha",1
"institute advanced study",1
"institute advancement health",1
"institute applied health science",3
"institute aquaculture",1
"institute biomedical engineering",1
"institute business administration",1
"institute cancer research",3
"institute capitalising creativity",1
"institute cell molecular biosciences",2
"institute cellular medicine",3
"institute chemical biology",5
"institute communication systems",2
"institute criminology",1
"institute development policy management",1
"institute education",2
"institute electrical electronics engineers",1
"institute employment research",2
"institute european history",1
"institute finance management",1
"institute genetics molecular medicine",1
"institute german studies",1
"institute groundsmanship",1
"institute health welfare research",1
"institute historical research",3
"institute humane studies",1
"institute innovation",5
"institute ismaili studies",1
"institute management governance society",1
"institute management sciences",1
"institute materials",3
"institute mathematical sciences",1
"institute minerals",1
"institute naval medicine",1
"institute neuroscience",2
"institute new economic thinking",1
"institute obstetrics gynaecology trust",1
"institute occupational environmental medicine",1
"institute orthodox christian studies",1
"institute physics",5
"institute polish-jewish studies",1
"institute promotion innovation science technology flanders",1
"institute promotion teaching science technology",1
"institute science",1
"institute sociology",1
"institute space technology",1
"institute sports research",1
"institute zoology",1
"institution engineering technology",1
"institution mechanical engineers",3
"instituto de salud carlos iii",1
"institutt forsvarsstudier",1
"integra coatings ltd",1
"integra lifesciences ltd",1
"integrity management group",1
"intel",1
"intel ireland",1
"intellectual property office",1
"intensive care foundation",1
"intensive care society",1
"inter-american development bank",1
"intercer 2",1
"international agency energy atomic",1
"international aids vaccine initiative",1
"international association maritime security professionals",1
"international association wildland fire",1
"international atomic energy agency",1
"international biometric society",1
"international bolashak scholarship president republic kazakhstan",1
"international brain research organization",1
"international centre cultural heritage studies",1
"international centre genetic engineering biotechnology",2
"international christian college",1
"international colour consortium",1
"international continence society",1
"international council archaeozoology committee",1
"international development group",1
"international development research centre",1
"international federation information processing",1
"international fellows program",1
"international fund animal welfare",1
"international gas turbine institute",1
"international geothermal association",1
"international glaucoma association",1
"international health policy program",1
"international initiative impact evaluation",2
"international islamic university",3
"international labour organization",1
"international network urban development association",1
"international paint",2
"international power marine developments limited",1
"international primatological society",2
"international relations",1
"international rescue committee",1
"international rotary foundation",1
"international shakespeare association",1
"international shariah research academy islamic finance",1
"international society neurochemistry",1
"international students house",1
"international technology alliance",4
"international water management institute",1
"internet",1
"interreg",1
"interreg iv",5
"intertek",1
"intro group",1
"invenio foundation",1
"inverness college",2
"invibiovictrex",1
"iog trust",1
"ioi loders croklaan europe",1
"iom3",1
"ionscience ltd",1
"iop",1
"ip herschel smith",1
"ipg photonics",1
"ipsen",2
"ipsen bioscience",1
"iran heritage foundation",2
"iran vizarat bihdasht",1
"iran water resources management company",1
"iraq",34
"iraqi cultural attaché",4
"iraqi embassy",2
"iraqi government",18
"ireland",1
"irish contemporary music centre",1
"irish government",2
"irl",1
"ironmongers company",1
"irsn",1
"isa educational foundation scholarships",1
"isaac newton trust",2
"isac-cnr",1
"isaiah berlin fund",1
"isambard research scholarships",1
"isambard scholarship",2
"isense",1
"islamabad",4
"islamic azad university",1
"islamic development bank",5
"islamic economic unit",1
"islamic foundation",1
"islamic republic pakistan",1
"isle man government",1
"iso devco",1
"istituto zooprofilattico sperimentale delle venezie",1
"itä-suomen yliopisto",1
"italian multiple sclerosis foundation",1
"itc",1
"itn",1
"ittp mrc studentship",1
"iucn-ssg crocodile specialist group student research assistance scheme",1
"ja¯mi al-bahrayn",1
"ja¯mi al-malik sau¯d",1
"ja¯miah al-isla¯mi¯yah bi-al-madi¯nah al-munawwarah",1
"ja¯miat fi¯la¯dilfiya¯",1
"jabatan kesihatan negeri sabah",1
"jabbs foundation",1
"jack kent cooke foundation",1
"jacobsen trust",1
"jacqueline land fund pancreatic cancer research",1
"jaguar cars",1
"jaguar land-rover",6
"jamaica",1
"james dyson foundation",1
"james hutton institute",8
"james macpherson",2
"james pantyfedwen foundation",2
"james s mcdonnell foundation",1
"jami al-malik saud",1
"jamiah al-hashimiyah",1
"jamiat al",1
"jamiat al-kuwayt kulliyat al-uquq",1
"jamiat al-malik saud",1
"jamiat bir zayt",1
"jamiat dimashq",1
"jamiat tishrin",1
"jamiat umm al-qurá",1
"jamm design development engineering company",1
"jamshoro",1
"janet t anderson trust",1
"janet watson bursary",1
"janet watson fellowship",1
"janggen-pohn foundation",1
"janssen pharmaceutica",2
"japan",4
"japan indonesia presidential scholarship",1
"japan society plasma science nuclear fusion research",1
"japan society promotion science",5
"japan student services organisation",1
"japanese society patients families mps",1
"japanworld bank graduate scholarship program",3
"javni sklad republike slovenije za razvoj kadrov štipendije",2
"jean shanks foundation",2
"jeddah",3
"jenny antti wihuri foundation",2
"jerash private university",1
"jermyn brooks graduate award",1
"jerome lejuene foundation",1
"jesus college",2
"jfec",1
"jgw paterson foundation",1
"jiao yu ting",1
"jisc",1
"jmdp",1
"jn tata endowment fund",1
"jo deakin",1
"joanna randall maciver junior research fellowship",1
"jogmec",1
"john campbell trust scholarship 201011",1
"john f kennedy presidential library",1
"john fell fund",2
"john guest phillips memorial travelling scholarship",1
"john hodgson theatre research trust",1
"john matthey",1
"john oldacre foundation",2
"john s archer endowment fund",1
"john sharples",1
"john templeton foundation",1
"johnson johnson",4
"johnson matthey",9
"joint environment human health programme",1
"joint nature conservation committee",2
"joint project transient multiphase flow assurance",1
"joint research committee chelsea westminster nhs hospital trust",1
"joint research scientific executive",2
"joint united nations programme hivaids",1
"jolly bushman",1
"jon spencer",1
"jordan",9
"jordanian civil defence",1
"joron charitable trust",3
"jos plateau state nigeria",1
"joseph wulf fellowship",1
"joule centre",1
"jp morgan co",1
"jx nippon oil energy corporation",1
"jyoti chemicals engineers",1
"k004",1
"kabul medical university",1
"kacst",2
"kaduna state university",1
"kalahari conservation society",1
"kano",1
"kaplan holborn college",1
"karachi",2
"karachi-75270",1
"kasetsart university",1
"katie trust",1
"kaust",2
"kay kendall leukemia fund",4
"kazakhstan",1
"kc wong education foundation",1
"kebbi state government",2
"keele university",1
"keeping nuclear option open consortium",1
"kek",1
"kelloggs ltd",1
"kemdent",1
"kementerian kesihatan",1
"kementerian pelajaran",1
"kementerian pendidikan malaysia",1
"kementerian pengajian tingg",27
"kementerian sains",1
"kennedy institute rheumatology",5
"kennedy institute trustees",2
"kennedy trust rheumatology research",1
"kennel club",2
"kentro epistemonikon ereunon",1
"kerbala university",1
"kess",10
"ketel 1 studiefonds",1
"kew",1
"kh",1
"khyber pakhtunkhwa",1
"kidney research uk",8
"kidneys life charity",1
"kids kidney research",1
"kidscan",1
"killingley trust",3
"kimm",1
"kinesis foundation",1
"king abdul aziz medical city",1
"king abdulaziz university",20
"king abdull-aziz medical centre",1
"king abdullah",11
"king faisal university",3
"king khalid university",2
"king khlaid foundation",2
"king saud universty",11
"kingdom bahrain",3
"kingdom jordan",1
"kings college cambridge",1
"kings college london",1
"kingston chemicals",2
"klaus tschira stiftung",1
"kluge center",1
"knoo project",2
"knowledge support systems retails ltd",1
"knowledge transfer network industrial mathematics",1
"knowledge transfer partnership",3
"knox college",1
"knut alice wallenberg foundation",1
"kobe institute",1
"kogi state polytechnic lokoja",1
"kokusai koryu kikin",2
"kone foundation",2
"konrad-adenauer-stiftung",1
"kordelin foundation",1
"korea",3
"korea foundation",1
"korea international cooperation agency",1
"korean institute machinery materials",1
"kpm",1
"kpt malaysia",1
"krasuang witthayasat læ theknoloyi",3
"krasuuang witthayasat ae theknoloyi",2
"ksa",3
"kss fuels",1
"ktp",1
"kuk-i1-007-43",1
"kulliyyah allied health sciences",1
"kurdistan region",22
"kurt j lesker company",1
"kuwait",4
"kuwait culture office",1
"kuwait embassy",3
"kuwait goverment",3
"kuwait gulf oil company",1
"kuwait institute scientific research",6
"kuwait petroleum corporation",3
"kuwait university",5
"kwanjeong educational foundation",1
"kwok foundation",1
"l’oréal-unesco women science middle east fellowship",1
"labor",1
"laboratoire danalyse et darchitecture des systèmes",1
"laboratory educational theory",1
"laceep",1
"lady tata memorial trust",2
"lahore",5
"lancashire care nhs foundation trust",1
"language linguistics",2
"languages cultures",2
"lap research uk",1
"large scale complex systems",1
"laserlab-europe",1
"latest 2 programme",1
"latest2",1
"latin american caribbean studies",1
"laura ashley foundation",1
"laverstoke park farm",1
"law foundation british columbia",1
"lawrence livermore national laboratory",2
"lcsp-erd trust",1
"le conseil regional de la martinique",1
"league st bartholomews nurses",1
"learning skill council",1
"lebanon",1
"leche trust",2
"lee family scholarship",5
"leeds centre dante studies",1
"leeds charitable trustees foundation",1
"leeds ls1 3ex",1
"leeds metropolitan university",1
"leeds teaching hospitals charitable foundation",2
"leeds university",2
"leeds vascular institute",1
"legacy papadakis",1
"legon",1
"leibniz-institut für europäische geschichte",1
"leica biosystems newcastle",1
"leica camera gruppe",1
"leicester-shire rutland sport",1
"leicester cardiovascular biomedical research unit",1
"leicester city fc",1
"leicester loughborough diet",1
"leigh wigan primary care trust",1
"lembaga minyak sawit malaysia",1
"lenzing ag",1
"lerwick port authority",1
"less common metals ltd",1
"letterewe estate",1
"leuka",4
"leukaemia lymphoma research",11
"leventis conservation foundation",2
"leventis foundation",16
"leverhulme centre integrative research agriculture health",2
"leverhulme foundation",1
"leverhulme programme",1
"leverhulme trade bursary",1
"leverhulme trust",46
"lgc",1
"lh gray memorial trust",1
"lhasa limited",1
"li siguang scholarship",4
"liberty syndicates",1
"library congress",1
"libya",10
"libyan authorities",1
"libyan bureau",2
"libyan centre remote sensing space science",1
"libyan cultural affairs",3
"libyan cultural attache´",2
"libyan culture department",1
"libyan embassy",19
"libyan goverment",30
"libyan higher education",5
"libyan higher ministry education",1
"libyan peoples bureau",1
"libyan petroleum institute",2
"liddon fund",1
"life sciences mass spectrometry facility",1
"lifescan scotland ltd",1
"lighterlife uk ltd",1
"lilly uk",1
"lilongwe university agriculture natural resources",1
"limbyan govenment",1
"linacre college",1
"lincoln college",2
"lincolnshire county council",1
"linnéuniversitetet",1
"lisa macrae",1
"lise arnfinn hejes fond",1
"lister institute",1
"lithuanian academy science usa",1
"lithuanian foundation",1
"liver cancer surgery appeal",1
"liverpool john moores university",2
"lizz ketterer trust",1
"llc",1
"lloyds bank group",1
"lloyds register",5
"london",28
"london borough richmond upon thames",1
"london bridge hospital",1
"london clinic",3
"london college communication",1
"london college fashion",1
"london deanery",2
"london metal exchange",1
"london metropolitan university",10
"london pain consortium",2
"london petrophysical society",1
"london school economics political science",1
"london school hygiene tropical medicine",2
"london uk",1
"lonza biologics",1
"lonza cologne ag",1
"lord ashcroft international business school",2
"lord clintons trust fund",1
"lord crewe graduate scholarship",1
"lorna smith charitable trust",1
"lothian",1
"lotus engineering",1
"loughborough design school",3
"loughborough graduate school",1
"loughborough university",170
"lsb leakey fo",1
"lsb leakey trust",1
"lshtm graduate teaching studentship",1
"ltd",3
"lubrizol corporation",4
"lubrizol ltd",1
"lucite international",2
"luen shing tools ltd",1
"lundgren research award",1
"lundstrom foundation",1
"lung",1
"luxembourg",3
"luxor",1
"lynn macrae",7
"m-ors",1
"m-solv ltd",2
"m wright sons ltd",1
"m13 9pl",2
"maan al-nuaim",1
"mabarrah national industries group",1
"mac aids fund",1
"macao tertiary education services office",1
"macaulay development trust",1
"macmillan cancer care",1
"madi¯nat al-malik abd alazi¯z lilulu¯m wa-al-tiqni¯yah",1
"madinah",2
"maenad",1
"maersk oil",1
"magdalen college",1
"magdi yacoub institute",2
"maggies centres",1
"magnesium elektron",3
"magnetic resonance imaging facility",1
"magpie",1
"maha¯witthaya¯lai kase¯tsa¯t",1
"maha¯witthaya¯lai mahidon",1
"maha¯witthaya¯lai nare¯su¯",1
"maha¯witthaya¯lai thammasa¯t",1
"mahawitthayalai ratchaphat surat thani",1
"mahidol university",2
"mainz",1
"majlis amanah rakyat",5
"making commodities programme",1
"maktab al-thaqa¯fi¯ al-sau¯di¯",1
"makurdi",1
"malawi government",1
"malaysia",95
"malaysia government",14
"malaysia higher education",1
"malaysia jabatan perkhidmatan awam",2
"malaysia kementerian pendidikan",1
"malaysian agricultural research development institute",1
"malaysian ministry education",2
"malpartraining",1
"malta government",4
"management administration society",1
"manchester",4
"manchester academic health sciences centre",1
"manchester digital development agency",1
"manchester fund",1
"manchester mental health social care nhs trust",1
"manchester mental health social care trust",1
"manchester royal infirmary",1
"manchester school award",1
"manchester university",2
"manríquez soto",1
"mansoura university",2
"manufactures commerce",1
"mara",3
"maracaibo",1
"mares",1
"margaret simm legacy",1
"marie curie",56
"marie sklodowska-curie actions minsc itn",1
"marie sklodowska-curie itn",1
"marine alliance science technology",9
"marine biological association",2
"marine conservation society",1
"marine environmental research group",1
"marine genomics network",1
"marine harvest",2
"marine institute",2
"marine renewable energy environment",1
"marine research institute iceland",1
"marine scotland",4
"mario molina fund",1
"marion redfearn trust",1
"maritime coastguard agency",1
"marks spencer",1
"mars symbioscience",1
"marshall aid commemoration commission",4
"marshall commission",1
"martin gmbh",1
"martyrs foundation",1
"marylebone cricket club",1
"mas foundation",1
"masdar",1
"mason medical research foundation",1
"mason medical research group",2
"master back",3
"masts",1
"match",1
"match programme",1
"materials",2
"materials mining",1
"materials performance centre",1
"materials research school",2
"mathematics institute",6
"mathematics physical sciences",4
"mathys ltd",1
"maude christian meier sc johnson",1
"max-planck-institute radioastronomy",1
"max hamilton fund",1
"max planck institute",2
"max planck society",1
"maxeler technologies",3
"may wong smith trust",1
"mbc group",1
"mbda",2
"mbda missile systems",1
"mcdonald institute",1
"mcglashan charitable trust",1
"mcisb doctoral training centre",1
"mckern scholar award perinatal research",1
"mcmillan award",1
"mcnet initial training network",1
"mctes",1
"mctimoney college chiropractic",1
"mearns trust",2
"medclivar",1
"medi stockings",1
"medical educational research trust",1
"medical research council",456
"medical research scotland",1
"medical school",1
